Time	A1	A2	A3	A4	A5	B1	B2	B3	B4	B5	C1	C2	C3	C4	C5	D1	D2	D3	D4	D5	rep	exp
82800	9.055531007	14.49398003	13.00136565	15.51396216	9.350587737	4.809044512	8.203086309	7.383226076	9.758796117	12.11944879	8.812366157	8.066892418	8.077771526	6.564122349	8.453850837	15.40529298	16.23990892	15.11207059	8.509925813	8.395711202	B	CS
83400	8.989452775	14.39207099	12.90159687	15.44665801	9.2317096	4.689528815	8.181215987	7.232521757	9.564957904	11.96201715	8.87903484	8.086207721	8.047597296	6.57013548	8.376317706	15.54948575	16.34709494	15.23499608	8.522831846	8.285064821	B	CS
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C	CS
600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C	CS
1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	C	CS
1800	0.148945647	0.021677555	0.018325083	-0.026898233	-0.023535058	-0.006112221	-0.060634657	0.024864672	0.010443233	0.007896026	0.051950823	-0.012118798	-0.054974067	-0.042004374	0.0141386	0.023676034	0.04606351	0.035824417	-0.031343813	-0.027190942	C	CS
2400	2.483354554	0.663941709	0.128025767	-0.013438519	-0.097102439	0.512047649	-0.284407381	0.238797704	0.081941166	0.313084313	0.962791225	-0.052172436	-0.330151055	-0.211300763	0.005939388	1.878459589	0.271655565	0.324682463	-0.130595525	-0.123016676	C	CS
3000	5.20155739	1.174375993	0.202720266	-0.057811079	-0.184453604	1.26244004	-0.504393933	0.410241093	0.144529722	0.56721746	2.518689392	0.084799914	-0.487318603	-0.277839767	0.050623132	3.841425397	0.60211667	0.584823917	-0.154244343	-0.195344693	C	CS
3600	7.83830283	1.715793212	0.270824319	-0.090572469	-0.282589971	2.435902664	-0.669344321	0.516808534	0.160001565	0.818464121	4.393484566	0.394570541	-0.585870183	-0.366713101	0.092708738	5.058341519	0.92057928	0.751945426	-0.107091057	-0.284466296	C	CS
4200	8.981063154	2.227557026	0.308550688	-0.100486001	-0.356670454	3.910960218	-0.724185503	0.593543976	0.177507932	0.840943177	5.081790003	0.845228238	-0.644090974	-0.407796056	0.15025219	5.062426379	1.353292095	0.877439145	-0.050809439	-0.365688991	C	CS
4800	10.11570303	2.885221659	0.318013862	-0.170239088	-0.3993214	5.121877446	-0.695664234	0.719853033	0.166759809	0.932013672	5.140355064	1.405142113	-0.715546011	-0.486269411	0.27362999	5.876092293	1.934607165	0.967994642	0.059339584	-0.382873242	C	CS
5400	11.70655419	3.662127368	0.375589831	-0.228633211	-0.504339464	5.389728923	-0.641179906	0.793515867	0.167187927	1.018313859	6.190118434	2.303505245	-0.721013619	-0.499416124	0.298864396	7.303008563	2.729193181	1.202927667	0.103300538	-0.406263315	C	CS
6000	14.02644712	4.6983405	0.466813048	-0.315548452	-0.545745182	5.249614374	-0.461029914	0.898418601	0.169998832	1.078688646	7.483578284	3.481731141	-0.625348865	-0.536336754	0.28190005	8.993783657	3.85079312	1.354811141	0.196622478	-0.419060501	C	CS
6600	17.11238345	6.063585588	0.589342285	-0.323918438	-0.604132882	5.860470395	-0.183981045	0.966739348	0.117286249	1.113861981	9.07885399	4.925000732	-0.459559644	-0.500703111	0.339463775	10.95341103	5.212052156	1.593600832	0.326205652	-0.453340725	C	CS
7200	20.83752906	7.95487761	0.823558588	-0.367796123	-0.689754704	7.229572594	0.304791242	1.065030037	0.169257346	1.21130154	10.96038962	6.455471495	-0.222493228	-0.517370408	0.341499306	13.63554747	6.89989708	1.938727902	0.37513413	-0.447535139	C	CS
7800	25.16406247	10.05985495	1.082159646	-0.384144624	-0.680521841	8.587689456	0.87784246	1.203216913	0.147772436	1.256563573	13.39626477	7.878606237	0.043561211	-0.490772607	0.384731317	16.32789834	8.562691035	2.284163679	0.44927226	-0.432752581	C	CS
8400	29.40077294	10.60136701	1.404266466	-0.322765197	-0.746750462	10.38616149	1.740626473	1.400725909	0.14347655	1.292736602	16.13477394	8.294368746	0.427415854	-0.48949447	0.474567763	19.64118338	9.204866636	2.773583501	0.515668791	-0.436812871	C	CS
9000	34.33838016	11.1024276	1.784804056	-0.30241548	-0.773880264	11.63912357	2.882656676	1.575140948	0.203662335	1.351507684	19.76271919	8.751322991	0.943222887	-0.407876715	0.570138265	23.18307884	9.973665781	3.323123174	0.652730187	-0.346597759	C	CS
9600	39.47959879	12.27879102	2.387310309	-0.207756293	-0.819261479	12.35820866	4.232365332	1.760146597	0.177038679	1.424876613	23.48806955	9.838476685	1.657232057	-0.332164188	0.607625331	25.84733084	11.01402042	4.14510988	0.773833127	-0.293518161	C	CS
10200	44.68911265	14.11907104	3.109133811	-0.140612732	-0.796346723	13.5713006	4.875356407	2.064408402	0.234309205	1.446934334	27.79726116	11.24142116	2.700372083	-0.195444699	0.66338756	30.29186046	12.70121737	5.305310342	0.952135394	-0.231925869	C	CS
10800	49.82829385	16.13552187	4.213593909	0.011089118	-0.823781933	15.09621924	4.778688306	2.345521534	0.273864606	1.512087599	32.03837893	12.71208652	3.837456029	-0.064159656	0.722043242	34.26982679	15.08923267	6.91501678	1.170762944	-0.232929902	C	CS
11400	54.30337696	18.85428338	5.627695957	0.239796925	-0.823530039	16.30961127	5.182400696	2.672983577	0.306626542	1.552013028	38.41319476	14.74800091	5.058140505	0.185627931	0.80054526	37.39574053	17.88062649	8.975847244	1.408635241	-0.17336647	C	CS
12000	58.74414291	22.01260105	7.585139787	0.508879269	-0.792596959	17.73089824	5.990243059	3.171163922	0.367567051	1.599745045	43.31728359	16.97484941	6.592399032	0.545727147	0.85538612	41.07164147	21.11471599	10.73167923	1.7953728	-0.114432289	C	CS
12600	62.73916314	24.95572068	9.715487825	0.946030975	-0.76667171	19.42286552	6.911078878	3.731288864	0.509098094	1.664044332	46.92914275	20.48140392	7.980971855	0.959744192	0.978496353	44.93392778	24.07027497	12.47189903	2.232080355	0.015922554	C	CS
13200	66.09231901	28.41419824	11.70488974	1.431532831	-0.726103241	20.5007661	7.746441697	4.444963777	0.570630803	1.71333712	50.86847818	23.14537188	8.356840696	1.515694245	1.049106934	48.08715321	27.80136048	13.24318907	2.805037439	0.114921966	C	CS
13800	69.21746241	32.23008047	12.79936664	2.083573263	-0.699633206	21.98175821	8.581442915	5.382182093	0.69127354	1.758746635	53.81868514	27.61657531	9.137525986	2.223343352	1.227820105	50.49085482	30.43475537	14.25369093	3.522577854	0.258452289	C	CS
14400	71.85158289	36.61140718	14.38789921	2.967985435	-0.530295354	23.40140193	9.43363174	6.47895737	0.922788373	1.778460573	56.84604969	31.46473746	10.54442744	3.24726794	1.317344472	53.07143456	34.61148387	16.17451481	4.495858419	0.450689387	C	CS
15000	73.21666959	41.00942278	16.7918318	4.221005056	-0.396825306	25.16538598	10.35945817	7.767704474	1.196201655	1.853167636	59.44486822	35.28570916	12.09432837	4.299558131	1.575572963	55.69345269	38.51046605	18.87784689	5.869564599	0.712465859	C	CS
