Time	E7	E6	E5	E4	E3	E2	D7	D6	D5	D4	D3	D2	C7	C6	C5	C4	C3	C2	B7	B6	B5	B4	B3	B2
14665.79391	1.809492003	-0.019644123	4.972091754	1.279644526	-1.688326414	6.833803262	2.731376478	2.576455954	3.573470664	-2.66356858	2.408264507	9.163030066	0.204256542	3.388766976	8.846920993	6.141316039	4.386931658	10.41197302	1.825913983	7.786605527	14.11195716	6.573421458	4.581808784	15.31686741
15565.79391	1.747826743	0.35800335	5.892736652	1.345188366	-1.126671096	7.971078951	2.786610717	4.061831029	5.162799164	-2.191599452	3.889324993	11.19708634	0.32603654	4.162245424	10.82974779	6.250159887	5.553048287	12.55911671	2.248208625	9.628952391	17.46467084	6.757436954	6.174022025	19.42562616
16465.79391	1.740627406	0.898218669	6.602837811	1.430659577	-0.503647479	9.102851339	2.885383497	6.278709824	7.23965387	-1.650994207	5.623394075	13.75478231	0.489850189	5.239093364	13.49987551	6.439371053	6.95300546	14.90817964	2.724036605	9.924272016	20.79596594	7.140002882	7.852135332	24.47946435
17365.79391	1.783728188	1.616418704	7.986015367	1.644572852	0.369571094	10.52457562	3.102711926	8.547731072	10.07079407	-0.861587028	7.119801242	16.77198118	0.699413952	6.508567453	16.23915478	6.743271581	8.338991345	17.88195544	3.630973755	11.28075055	24.98533016	7.754033644	9.19635138	28.61571903
18265.79391	1.801004711	2.651490108	9.892176425	1.779686152	1.621782389	12.32672455	3.399032758	9.984220947	12.24436716	0.103356373	8.617318992	20.23230579	0.968357229	8.099876014	18.88647755	7.244190703	10.15939628	21.17723317	5.12098506	13.39609469	28.65216744	8.695712368	10.77106984	32.88992082
19165.79391	1.943708986	4.073596017	12.17296158	2.101266474	3.234723804	14.41427866	3.857997708	11.45608739	14.87773399	1.451149404	10.24902784	23.72524353	1.356860935	9.6434558	22.30934874	7.985693785	12.11530957	24.6167612	7.153812816	16.26366002	32.342464	10.2781383	13.11652733	36.87005403
20065.79391	2.172117109	5.952519957	14.89642659	2.479839183	5.328740106	17.13039133	4.602702777	13.30336759	17.56320478	3.396133221	12.59504703	27.28898609	1.932200694	10.91871675	24.96046339	9.145926299	14.62842932	28.04517187	9.096729762	19.68109518	35.95008431	12.27610308	16.26325284	40.25123646
20965.79391	2.494399927	7.228110179	18.40854226	2.926434693	7.010804469	19.9160139	5.811451607	15.31530688	20.40138882	5.46504148	15.69513223	30.89736797	2.815772373	12.88315558	27.5369752	10.29404166	17.25300445	32.38148623	10.47747339	23.53239684	38.55476543	14.23355782	20.17341228	43.55560907
21865.79391	2.944873008	8.083992965	21.88343487	3.427039908	8.457541476	22.56648849	7.162725616	17.30566781	23.57878397	7.595134756	19.07320733	34.4983378	4.169890502	15.51661526	30.05760816	11.58730191	20.11873619	36.69210551	11.98137412	27.43727832	40.62858388	16.18055468	23.86242779	44.68569472
22765.79391	3.621044189	9.504987065	26.30381505	4.136022222	10.31762785	25.30017621	8.66344601	19.29334984	26.03953991	10.05639532	22.90993717	37.95203547	5.808103435	17.74932726	32.46980556	13.15297914	23.88989778	40.57954274	14.25368316	31.4695766	42.40920218	18.21713249	27.80832713	45.00598576
23665.79391	4.665993057	11.37045958	30.82216269	5.066707569	12.53592828	28.08209213	10.63887401	21.37003152	28.45373872	12.72908351	26.40623422	41.11280444	7.300670554	20.94188886	34.44310508	14.88233348	28.23992607	43.13870953	16.97575416	35.03922231	42.97517485	20.68747715	32.00916359	44.71593493
24565.79391	6.194183677	13.91929711	35.14351021	6.252816577	15.2265492	31.20634335	12.45632041	22.9866242	30.13770252	15.70999261	30.71012291	43.42821155	9.052269663	24.15396371	35.78030936	16.74944995	33.11649474	44.26025115	20.00267585	39.30272399	43.38322229	23.65074845	37.14793566	43.92961824
25465.79391	7.840599164	16.69092931	39.39396878	7.693742174	18.17793245	34.28627262	13.92364905	24.81908391	31.80606963	18.78489676	35.37659083	44.40978046	10.92657838	26.3864785	37.24075174	18.82734462	38.95178147	45.10132318	22.90785299	42.10644797	42.91872177	27.18967817	42.66077648	43.9870355
26365.79391	8.992016025	19.43201473	42.70155895	9.084120942	20.7574009	37.43206829	15.58083019	26.50835252	33.59515924	21.89779465	40.00783507	45.30143862	12.93691767	29.90972862	38.07096139	21.17739026	44.68465409	44.9836499	25.93826365	44.7632808	42.75799479	30.84080506	45.72590395	43.72472744
27265.79391	10.56865103	22.78711864	44.93682483	10.56092072	23.70982018	40.12343368	17.14885819	28.35122592	35.322345	25.12003173	44.23058744	45.22806398	14.97288673	32.80025557	38.8464115	23.7576571	49.95118622	44.06453283	28.80682558	46.14046064	42.61939449	34.60638053	47.93539555	43.47833181
28165.79391	12.39713746	26.86572727	45.65800728	12.15481781	26.69562801	41.38320824	18.61694785	29.79269524	36.89877754	28.30584915	48.12508142	45.27183382	16.84646068	36.12172094	39.30329895	26.49939266	53.68806589	42.81633273	32.03189615	46.98899365	42.70100418	38.2540599	50.42574237	42.72771413
29065.79391	14.34159655	31.39168765	45.81825954	13.88994408	29.49960425	41.72191881	19.93310582	31.01964553	38.56224588	31.24980408	49.76859928	44.91113712	18.61585839	38.69966285	39.65084355	29.17610391	54.82756968	43.09525788	34.66743566	47.16737151	42.7761769	41.62542511	51.81433308	41.91291342
29965.79391	16.81061483	35.94318057	45.52228858	15.69162061	32.26327257	42.00724091	21.20234624	32.06291653	38.90274219	33.97643061	50.62533501	44.26222982	20.34764392	41.36625779	39.27738629	31.36738971	52.28413151	42.9215534	37.23737145	46.34088312	43.08418768	44.48860603	51.94224816	41.27582654
