Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
11700	20.37148854	6.933007895	5.105020555	-1.651295064	0.851689546	28.58202139	11.21041887	4.964098661	-0.524681778	0.078312911	22.89065598	7.429734885	2.330294774	-1.325463616	-0.942156043	32.49991843	12.33278365	3.388765643	-0.072971619	-0.8350414
12600	24.56131009	9.126577662	5.53412219	-1.516811942	0.628089683	33.79148423	12.83674568	5.771740015	-0.373022582	-0.027060259	26.0703007	9.066901914	3.274895104	-1.107301215	-0.869629153	38.46191148	15.79239937	4.640251261	0.090799478	-0.803240901
13500	28.96181166	10.20984024	6.184043542	-1.280268306	0.544292511	38.77495897	15.84182898	7.016665449	-0.096149227	-0.091157646	29.71903054	11.31262816	4.607859685	-0.845410209	-0.791715858	45.11200523	18.82725432	6.723227232	0.405680005	-0.745618415
14400	34.31040632	12.77031956	7.268284923	-1.060113526	0.422829414	42.7925959	19.42675435	8.876407577	0.189898981	-0.105669776	32.79321253	14.06001101	6.247084808	-0.420560944	-0.628513696	50.57991376	23.57461844	9.493574137	0.840177148	-0.639820251
15300	38.12817789	16.16199845	8.998722296	-0.727805754	0.306867822	45.89902186	23.4509941	11.41344064	0.664631378	-0.143554317	36.01171622	16.673602	7.869466718	0.086976781	-0.516748495	55.67468521	29.35130215	12.21319022	1.474523146	-0.489546461
16200	41.85761362	19.78749768	11.02109675	-0.29841788	0.292952854	49.25183961	27.75741333	13.39992037	1.314063734	-0.075823948	38.52309948	19.43643246	9.5564637	0.791985657	-0.370592994	58.90543023	34.86701427	13.5462498	2.361677474	-0.378245209
17100	44.38152425	23.42257023	12.34414658	0.182108727	0.219565263	51.75023949	32.5032436	14.37439468	2.100082531	-0.031931666	41.74108664	22.76399893	10.86544184	1.740767546	-0.211800022	60.24846644	40.31338053	16.40626731	3.756207704	-0.198914874
18000	46.42794137	28.20020325	13.88016218	0.830502247	0.250487698	53.69184821	37.41230662	16.19329395	3.206060612	0.082740699	43.56682405	25.85837388	12.51653312	2.980412565	0.072471208	60.22911573	45.99330381	20.51403085	6.005802662	0.000783734
18900	47.23586227	33.19973746	15.72928545	1.722664357	0.237497201	54.77888898	41.87142125	18.47674029	4.776773389	0.281043512	45.0979563	28.89237621	14.63091282	4.795198385	0.401285473	60.63831153	50.29608011	24.9881999	8.665321171	0.3857527
19800	47.36890354	37.99790382	18.87399646	3.11886099	0.383024991	54.68639918	45.59789788	21.35468841	6.977161182	0.591105351	45.88782096	31.17224665	16.8008231	6.669898327	0.821964251	59.19469401	54.18467506	29.67400476	10.39024758	0.805668474
