Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	E7	D7	E2	E3	E4	E5	E6	D6
19246.64073	32.45344875	8.229008849	3.57750437	29.53240346	11.14887706	3.186800042	13.32176337	4.511863958	2.891366989	39.39549285	17.54752426	6.106241602	23.05864409	10.64002792	4.475733452	8.750439236	1.679212261	-0.39820994	24.19540219	10.01309473	3.426116348	18.92092839	6.618876701	0.29402837
20146.64073	36.34279274	9.912260637	4.810862043	34.52819154	13.780324	4.59709966	16.07961483	5.910381247	3.522951233	45.19600217	21.65627004	7.689397348	26.33484761	13.59299692	5.821311028	9.86762536	2.423289784	-0.245062893	27.43231722	12.22581533	4.643025755	23.70381504	8.260509013	0.929797421
21046.64073	40.72633404	11.80448796	6.109008401	39.44483189	17.35813888	6.47604089	19.52910793	7.500363036	4.243438233	49.30288887	26.51064256	9.389391732	29.68631408	17.16734982	7.505337829	10.88737221	3.424199237	-0.038887252	31.26197511	14.59555887	6.173724039	28.45400986	10.26720174	1.572317599
21946.64073	45.39031947	14.37312665	7.59543057	43.91858424	21.80889818	8.499212155	23.17266943	9.109277755	5.104107957	52.02050632	30.66958372	11.74911096	33.13172755	20.7095832	9.463068593	11.98951436	4.664749822	0.257903249	35.23169694	17.45479982	8.078753626	33.77590516	12.61326818	2.382493982
22846.64073	48.87743563	18.18745224	9.358549057	47.33279396	26.19758501	9.978135394	26.95985305	11.26770734	6.072749264	54.10758093	34.58069758	15.67815209	37.19904007	23.9939312	11.43857713	13.0653757	6.092019887	0.61523295	38.63594713	20.65082576	9.77213864	38.60920212	15.43249555	3.554267917
23746.64073	51.76320329	22.17576274	11.32956209	49.26429732	30.84959696	11.90489586	31.56911369	13.85648339	7.220280535	54.31159308	38.92990269	20.34568839	39.6785372	29.1309889	13.44708041	14.21971083	7.27323928	1.102070578	41.43732415	24.00846567	11.53100355	43.34169879	19.37054741	4.82388756
24646.64073	53.86360655	26.75537688	13.53549717	50.27190931	36.84532555	14.45609621	35.41322321	17.02482405	8.382663556	52.04341462	43.28649167	24.11949697	41.58798369	33.33587952	15.56637033	15.2658844	8.617777241	1.56762735	44.08764805	27.32651167	13.45761058	46.51576316	23.19654423	5.536465811
25546.64073	54.82483457	30.95375397	16.28971688	49.1090184	42.89084081	17.58982806	38.93600465	19.81118194	9.681977663	49.71965117	46.77107064	28.14271046	43.43978335	38.03126897	17.89306479	16.20235326	10.53774613	2.280582267	45.4935261	30.79980704	16.16227121	49.31397653	28.01622211	5.953299005
26446.64073	54.71702642	36.25830574	19.53734893	47.96170362	47.99265095	20.81448264	41.25290263	23.44919295	11.00488677	46.14198879	49.34492061	33.39982341	44.93422147	42.11480372	20.39080315	16.91207202	13.25477005	3.083717712	47.08246118	34.53128346	20.1877417	50.43030578	32.9260427	6.927191964
27346.64073	55.23898668	40.73185209	22.84162561	47.05787761	50.33676969	24.13678104	43.38360297	27.34112692	12.46099836	43.79707733	51.13867611	38.6206401	47.10586076	46.32039099	22.98393539	17.56335138	16.02842419	3.939165127	47.56680237	38.26548564	22.56937841	49.8163601	38.33232134	8.333505266
28246.64073	54.31899937	44.83565304	27.16062392	46.42431121	52.51577337	27.89264875	44.6578716	31.74500328	14.16947431	42.11090211	49.83171198	43.65418316	47.19988202	49.78777628	25.49248942	18.42339843	19.54200247	4.895815112	47.51075559	41.5853845	25.96558758	48.8738463	42.83198311	9.508002405
29146.64073	51.11884649	48.52236368	30.89345833	45.84417083	53.44138469	32.22666439	45.92527658	35.8875886	16.00939685	39.92756994	48.30150124	47.60511647	47.5732592	53.41042352	28.04889402	19.22344985	23.22821054	6.043034393	47.95896697	44.18827446	29.42474704	45.93554236	47.14337317	10.72126685
30046.64073	48.64966455	51.2753141	35.0140518	45.32951507	53.4781008	36.62376922	47.4349172	40.7050728	18.06040304	38.7413022	46.44443918	49.46784186	48.10881242	56.10484622	30.60633222	20.055282	27.60714757	7.303654661	47.31957716	44.79393243	34.37758862	43.97530865	49.6643162	11.64319181
30946.64073	47.17892544	52.19481478	38.80221395	44.37118203	52.39986085	41.19600182	46.79342855	44.92689072	20.29275479	36.7079742	44.61822829	50.60830055	48.77763299	58.31713844	33.19233591	20.80570222	30.75851345	8.67268889	46.49007204	44.84236973	37.88147109	43.13527806	50.77019646	12.59118239
