Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
13500	19.76920954	9.67804422	2.677620434	1.835553976	0.689389983	18.28346604	11.48308519	1.17103888	1.082719779	-0.131867228	29.62590938	18.95870578	6.816164193	-0.192886275	-1.130391127	31.60708587	19.31638594	5.596667461	-0.230004933	0.290286536
14400	24.61844051	11.83357036	3.87703413	2.012220287	0.697554969	21.98488974	13.53358013	1.709797369	1.107660381	-0.112812663	34.19028682	22.27846505	8.157686107	0.653177349	-0.96863959	37.30871887	24.12040114	7.024805663	0.246505992	0.41440302
15300	28.58490747	14.6038261	4.794878258	2.286979117	0.733295097	26.07702891	15.27901	2.379772366	1.248352058	-0.074433433	38.51485063	25.70770006	9.699557108	1.61578831	-0.695990773	42.6036516	30.31658823	8.812836985	0.841574446	0.607947931
16200	32.46628139	17.86794506	5.944928886	2.714635481	0.780139131	30.65120135	17.42995365	2.958520196	1.390863373	-0.068563568	42.71653857	29.1709183	11.62194679	2.861199683	-0.316233173	45.92868073	35.77788601	11.33104246	1.66500024	0.996467096
17100	35.48901059	21.82122037	7.315575073	3.32368164	0.891967653	35.19675621	20.27443921	3.655848989	1.667145451	-0.006863681	46.74146558	33.19704347	14.31294588	4.362030382	0.244611055	48.3581793	40.93328915	14.53528211	2.878602829	1.454150975
18000	37.97925244	26.81182089	8.929243723	4.0984445	1.055205984	38.85288621	23.43548952	4.650415259	1.999951512	0.10125474	49.13093838	36.71930493	17.97028364	5.956704718	1.017588395	50.85451655	44.95460851	18.19282031	4.278772322	2.00985596
18900	39.80960282	30.40462418	10.77087321	4.952207886	1.257946576	42.52091406	26.99171825	6.049898747	2.429830862	0.235906135	49.55692924	39.99771614	22.34671306	7.456095916	1.869331713	51.64072307	47.83980365	22.00539667	5.950456781	2.756193211
19800	41.29738807	34.96629805	13.1328338	5.888182399	1.624736503	45.52510965	30.47987737	7.827905733	2.964520943	0.344872828	50.16540825	42.73749534	26.85461957	9.206639289	2.590256678	51.59039798	50.75804781	26.24049307	7.216946398	3.687096906
20700	42.39075777	38.72963525	15.87951817	7.015140936	2.127319775	47.87901081	34.15548345	9.743797924	3.592417989	0.491550532	49.90626705	44.48779259	31.14866381	11.69861187	3.417753365	51.76538073	52.08832711	30.68757242	8.719866275	4.839670043
21600	42.92657521	43.26354072	18.83225192	8.483742231	2.889252195	49.29601111	37.50962805	11.20603647	4.291610714	0.670942158	49.860002	46.27577073	35.77958583	14.5582753	4.363927627	51.29755447	52.8344111	34.99461157	10.68981096	6.018198073
