Time	B2	B3	B4	B5	B6	B7	C2	C3	C4	C5	C6	C7	D2	D3	D4	D5	D6	D7	E2	E3	E4	E5	E6	E7																								
28273.69447	36.71789514	15.85740491	8.248142018	46.78997984	33.52328482	8.663600753	45.3068293	35.67544975	19.06203675	46.27282513	31.8499897	8.365020652	46.11307982	42.13305383	30.88975282	45.70589126	33.18519282	7.278835487	48.81075316	49.08638769	24.82670678	39.90581052	29.67090011	7.584514784																								
29173.69447	38.37532204	17.88851644	9.563670754	45.23974024	36.9914726	10.13710282	45.97821276	38.88031106	21.87171153	46.86111626	35.84071736	10.07424944	45.91103976	41.51140579	35.846742	45.95078538	39.35063814	9.361623002	48.97250638	51.19573991	27.8304348	39.71736002	33.57354081	9.543503408																								
30073.69447	39.88779991	20.19434789	10.94585272	43.54164805	39.81853537	11.82374689	45.12401542	41.47968845	24.74315009	46.40953054	39.18797138	11.9971104	45.34358134	40.89705835	40.58335661	45.71625101	44.8403208	11.59963921	48.43834714	55.09146945	30.89548627	39.27905357	37.43459977	11.8609848																								
30973.69447	39.96062498	22.35797026	12.4256345	42.05415368	42.40323666	13.67823092	44.70169755	43.8830315	27.46660537	46.55281651	42.06049211	14.2436858	44.33211823	39.85760205	44.59457645	45.51745218	47.38276778	13.81656484	46.83158627	56.32613907	33.77225256	38.04047526	40.69273742	14.28436079																								
31873.69447	40.39610097	24.65655687	14.09028204	40.93730214	44.23831997	15.76693635	44.26172206	45.54871391	30.66377586	46.4526376	44.46567217	16.81378735	42.72486941	38.12733681	47.71709528	45.33262926	48.81464251	16.08653219	45.42359641	56.96137379	36.482929	37.2627236	43.12996734	16.68916831																								
32773.69447	39.75364681	27.1424621	15.81340758	39.86422829	45.76676377	17.87823979	43.26969463	46.67954778	33.46207251	46.09142258	46.57961656	19.7021732	41.23958696	36.18542909	49.77947093	44.7841539	48.71709891	18.35929627	43.62453947	56.29962175	39.0264757	36.36196476	44.82729589	19.46035651																								
33673.69447	37.5221509	29.71053992	17.58350167	39.22824493	46.11613159	20.16451081	42.29986081	47.16874299	36.22961979	44.8855159	47.78587411	22.84639416	39.39440121	34.27871375	50.33941874	44.3182676	48.34063753	20.76103749	42.2421739	56.05594317	41.4822434	35.68494253	45.60030371	23.04328629																								
34573.69447	36.99729476	32.16091426	19.36466717	38.42083146	45.75736347	22.60651196	41.70841732	46.41163584	38.61712873	44.14162146	49.06048242	26.07153923	36.90968108	32.37354326	49.33262952	43.83658384	47.39779219	23.25294825	40.82329556	56.52196973	43.61501517	35.08791678	45.3960906	26.51610412																								
35473.69447	37.65750421	34.76437832	21.49591544	37.57861979	44.48952106	25.39738311	41.09509448	44.59693683	40.79209432	43.12056141	49.298	29.15545676	34.48200343	29.41969652	47.4200659	43.27326142	45.77723392	26.07946294	40.08262263	53.84513182	44.8273858	34.74572841	44.60966627	29.90443397																								
36373.69447	37.41332922	36.86566313	23.62942674	36.68884034	43.54148977	28.3323087	40.3183482	43.01135302	42.64107736	42.22968672	49.08611197	32.39529413	31.17838446	26.47140333	46.70928204	42.68725142	45.26738281	29.10228752	37.9964061	52.33184916	45.42818244	33.85791226	42.87145148	33.31870921																								
