Time	B2	B3	B4	B5	B6	C2	C3	C4	C5	C6	D2	D3	D4	D5	D6	E2	E3	E4	E5	E6
35100	38.58549702	48.9472699	40.39923498	20.2272251	7.445166102	23.17862663	27.48936811	40.56432683	46.16744577	49.15785412	43.40195998	39.58384035	14.13790015	5.982011909	3.403156702	31.29770337	39.41930817	32.7659498	21.79224804	2.907044819
36000	37.67404914	47.52676775	43.4630678	23.30520395	8.578847679	22.73474198	24.96888512	37.67743245	44.39398586	50.80864734	42.16315198	40.76505195	15.33547077	6.591775558	3.779406374	30.03671848	38.56706162	34.39781375	24.64594181	3.487344577
36900	36.97912951	46.8690372	46.19595765	26.35444184	9.800280656	22.13192536	23.4563468	34.56565345	42.57796152	53.08582683	40.40243897	40.91524824	16.57909083	7.455286986	4.294550142	28.50975333	37.7248481	35.66435027	27.22671169	4.102994515
37800	36.11284243	45.78436371	47.36275274	29.58587056	11.183195	21.27064006	22.83349063	31.22810438	40.41428726	54.26677627	37.90792601	41.10358195	17.88444848	8.028547468	4.803744281	26.7957704	36.62869884	36.35140548	30.24055511	4.896673239
38700	35.2035759	44.74165333	48.4009745	32.77981781	12.69640488	19.80037749	21.23561856	28.39569008	38.68751917	53.55610783	34.61385887	40.80014427	19.24491142	8.421528651	5.320940374	25.30392313	35.5579511	36.78664274	32.51454028	5.734816329
39600	33.70379471	43.8133361	47.62302461	36.34397526	14.25875778	18.45292363	19.75595384	26.56458434	36.69456404	51.38798097	31.30202468	40.37119578	20.73149498	8.904845048	5.589798802	23.57171617	34.48146311	36.52512628	35.0645203	6.679921626
40500	32.02568302	42.53400819	47.04081711	39.62515755	16.10414005	17.65287162	19.52281727	25.26004687	34.29814181	48.39052029	27.15918082	40.07229151	22.45966078	9.626465497	5.887488928	22.47598524	33.77064956	36.19437903	36.54275684	7.665270048
41400	30.37483245	41.16961571	46.55377402	42.40389528	18.30516733	16.06248895	18.77739427	24.94856478	32.61675118	46.11355169	23.05519421	39.97369091	24.21818542	10.51521215	6.317628734	24.57530997	33.32905225	36.04760037	37.70598669	8.695246313
42300	28.61378901	39.71233109	45.71037661	44.82980912	20.71535466	15.15099986	17.90076823	24.32905369	30.61545425	43.85885582	20.17617991	39.96457627	26.09020983	11.60875425	6.871714365	29.99145975	33.12424597	35.43069121	37.90877833	9.907757459
43200	26.96662066	38.62326553	44.27308614	46.53727269	23.64247814	14.53172226	17.19054034	23.767619	28.7291384	41.43672761	18.18469607	40.3594378	27.98517072	12.78944673	7.556175365	38.57437527	33.18238646	34.91222066	37.50981888	11.08057847
